subject,ability
GPT-5.4,1.618304
gpt-4o,1.558611
CheXagent-8B,-0.157719
CheXagent-2-3B,-0.112843
LLaVA-Med-7B,1.878923
LLaVA-1.5-7B,-0.822236
MedGemma-4B,-0.944416
InternVL3-8B,-0.706655
Phi-3.5-Vision,-3.131116
Qwen2.5-VL-32B,-0.849327
BiomedCLIP,-1.319401
Pixtral-12B,1.549536
Llama-3.2-Vision-11B,-1.598963
Qwen2.5-VL-3B,-0.137888
Qwen2.5-VL-7B,1.485046
