subject,ability_f0
GPT-5.4,4.652691
gpt-4o,13.124015
CheXagent-8B,0.193043
CheXagent-2-3B,0.109560
LLaVA-Med-7B,11.599713
LLaVA-1.5-7B,-0.986840
MedGemma-4B,-1.775187
InternVL3-8B,-1.275646
Phi-3.5-Vision,-11.201567
Qwen2.5-VL-32B,-1.311181
BiomedCLIP,-2.968171
Pixtral-12B,8.219728
Llama-3.2-Vision-11B,-4.403012
Qwen2.5-VL-3B,0.467398
Qwen2.5-VL-7B,7.424827
