model,n_params,n_obs,log_likelihood,AIC,BIC,test_log_likelihood,test_nll_per_obs,seconds,final_loss
rasch,15214,144859,-65875.7812,162179.5625,312547.3770,-9249.6826,0.586239,7.21,0.454759
twopl,30413,144859,-40299.9688,141425.9375,442013.3137,-16890.9727,1.070540,9.65,0.278485
threepl,45612,144859,-36666.7422,164557.4844,615364.4223,-13883.3516,0.879918,5.60,0.253276
fm1,30413,144859,-29337.1250,119500.2500,420087.6262,-12931.8965,0.819616,23.40,0.202527
fm2,45627,144859,-15356.8506,121967.7012,572922.8918,-20510.2402,1.299926,32.38,0.106019
fm3,60841,144859,-7973.3867,137628.7734,738951.7786,-29568.6270,1.874042,36.57,0.055048
