subject,ability_f0
GPT-5.4,-0.039699
gpt-4o,0.120992
CheXagent-8B,-2.465100
CheXagent-2-3B,-0.965352
LLaVA-Med-7B,-24.503748
LLaVA-1.5-7B,-5.707003
MedGemma-4B,-0.324751
InternVL3-8B,0.246276
Phi-3.5-Vision,-4.770942
Qwen2.5-VL-32B,0.176197
BiomedCLIP,-0.252441
Pixtral-12B,-1.205891
Llama-3.2-Vision-11B,-3.712403
Qwen2.5-VL-3B,-2.117545
Qwen2.5-VL-7B,-0.411125
