subject,ability
GPT-5.4,0.255248
gpt-4o,-0.025364
CheXagent-8B,-0.773990
CheXagent-2-3B,-0.736983
LLaVA-Med-7B,-6.408472
LLaVA-1.5-7B,-0.993158
MedGemma-4B,-0.711865
InternVL3-8B,-0.704108
Phi-3.5-Vision,-1.254945
Qwen2.5-VL-32B,-3.273652
BiomedCLIP,-0.690045
Pixtral-12B,-0.731734
Llama-3.2-Vision-11B,-0.926897
Qwen2.5-VL-3B,-0.724800
Qwen2.5-VL-7B,-0.641302
