subject,pathology,attribute,group_A,group_B,n_A,n_B,acc_A,acc_B,delta_acc,z
gpt-4o,Pneumothorax,sex,Male,Female,901,612,0.90788,0.92974,-0.02186,-1.5103
gpt-4o,Pleural Effusion,sex,Male,Female,901,612,0.64595,0.60131,0.04464,1.7631
gpt-4o,Pleural Other,sex,Male,Female,901,612,0.95006,0.95425,-0.00419,-0.3735
gpt-4o,Fracture,sex,Male,Female,901,612,0.86459,0.88235,-0.01776,-1.014
gpt-4o,Support Devices,sex,Male,Female,901,612,0.81243,0.82516,-0.01273,-0.6294
GPT-5.4,No Finding,ap_pa,AP,PA,16214,5654,0.92772,0.80173,0.12598,26.6249
GPT-5.4,Enlarged Cardiomediastinum,ap_pa,AP,PA,16214,5654,0.5816,0.71825,-0.13666,-18.2008
GPT-5.4,Cardiomegaly,ap_pa,AP,PA,16214,5654,0.67997,0.79554,-0.11558,-16.4888
GPT-5.4,Lung Opacity,ap_pa,AP,PA,16214,5654,0.83206,0.77149,0.06057,10.1294
GPT-5.4,Lung Lesion,ap_pa,AP,PA,16214,5654,0.84982,0.89459,-0.04477,-8.3885
GPT-5.4,Edema,ap_pa,AP,PA,16214,5654,0.56938,0.87195,-0.30256,-41.008
GPT-5.4,Consolidation,ap_pa,AP,PA,16214,5654,0.74368,0.81376,-0.07008,-10.652
GPT-5.4,Pneumonia,ap_pa,AP,PA,16214,5654,0.77489,0.81181,-0.03693,-5.8145
GPT-5.4,Atelectasis,ap_pa,AP,PA,16214,5654,0.72098,0.74001,-0.01903,-2.7616
GPT-5.4,Pneumothorax,ap_pa,AP,PA,16214,5654,0.86561,0.91811,-0.0525,-10.43
GPT-5.4,Pleural Effusion,ap_pa,AP,PA,16214,5654,0.79376,0.86806,-0.0743,-12.337
GPT-5.4,Pleural Other,ap_pa,AP,PA,16214,5654,0.91088,0.7531,0.15778,30.3858
GPT-5.4,Fracture,ap_pa,AP,PA,16214,5654,0.75607,0.61921,0.13687,19.7515
GPT-5.4,Support Devices,ap_pa,AP,PA,16214,5654,0.83335,0.81022,0.02313,3.9629
Qwen2.5-VL-3B,No Finding,ap_pa,AP,PA,7421,2571,0.68899,0.56748,0.12151,11.1905
Qwen2.5-VL-3B,Enlarged Cardiomediastinum,ap_pa,AP,PA,7421,2571,0.4176,0.68456,-0.26696,-23.3397
Qwen2.5-VL-3B,Cardiomegaly,ap_pa,AP,PA,7421,2571,0.49266,0.74057,-0.24791,-21.8056
Qwen2.5-VL-3B,Lung Opacity,ap_pa,AP,PA,7421,2571,0.40439,0.62427,-0.21988,-19.275
Qwen2.5-VL-3B,Lung Lesion,ap_pa,AP,PA,7421,2571,0.84409,0.87553,-0.03144,-3.8713
Qwen2.5-VL-3B,Edema,ap_pa,AP,PA,7421,2571,0.47137,0.85842,-0.38706,-34.1726
Qwen2.5-VL-3B,Consolidation,ap_pa,AP,PA,7421,2571,0.4684,0.7289,-0.2605,-22.8236
Qwen2.5-VL-3B,Pneumonia,ap_pa,AP,PA,7421,2571,0.74545,0.75729,-0.01184,-1.1925
