subject,pathology,n,n_correct,accuracy
Llama-3.2-Vision-11B,Pleural Other,10000,8597,0.859700
Llama-3.2-Vision-11B,Fracture,10000,7026,0.702600
Llama-3.2-Vision-11B,Support Devices,10000,5380,0.538000
MedGemma-4B,No Finding,10000,3018,0.301800
MedGemma-4B,Enlarged Cardiomediastinum,10000,3835,0.383500
MedGemma-4B,Cardiomegaly,10000,6611,0.661100
MedGemma-4B,Lung Opacity,10000,4339,0.433900
MedGemma-4B,Lung Lesion,10000,8163,0.816300
MedGemma-4B,Edema,10000,6779,0.677900
MedGemma-4B,Consolidation,10000,5899,0.589900
MedGemma-4B,Pneumonia,10000,7054,0.705400
MedGemma-4B,Atelectasis,10000,5920,0.592000
MedGemma-4B,Pneumothorax,10000,4986,0.498600
MedGemma-4B,Pleural Effusion,10000,5227,0.522700
MedGemma-4B,Pleural Other,10000,8836,0.883600
MedGemma-4B,Fracture,10000,7154,0.715400
MedGemma-4B,Support Devices,10000,8094,0.809400
Phi-3.5-Vision,No Finding,9999,1608,0.160816
Phi-3.5-Vision,Enlarged Cardiomediastinum,9999,3560,0.356036
Phi-3.5-Vision,Cardiomegaly,9999,4496,0.449645
Phi-3.5-Vision,Lung Opacity,9999,3257,0.325733
Phi-3.5-Vision,Lung Lesion,9999,7034,0.703470
Phi-3.5-Vision,Edema,9999,5666,0.566657
Phi-3.5-Vision,Consolidation,9999,5257,0.525753
Phi-3.5-Vision,Pneumonia,9999,7630,0.763076
Phi-3.5-Vision,Atelectasis,9999,4496,0.449645
Phi-3.5-Vision,Pneumothorax,9999,6341,0.634163
Phi-3.5-Vision,Pleural Effusion,9999,5499,0.549955
Phi-3.5-Vision,Pleural Other,9999,8844,0.884488
Phi-3.5-Vision,Fracture,9999,7208,0.720872
Phi-3.5-Vision,Support Devices,9999,4152,0.415242
Pixtral-12B,No Finding,10000,8046,0.804600
Pixtral-12B,Enlarged Cardiomediastinum,10000,4045,0.404500
Pixtral-12B,Cardiomegaly,10000,5192,0.519200
Pixtral-12B,Lung Opacity,10000,5511,0.551100
Pixtral-12B,Lung Lesion,10000,8689,0.868900
Pixtral-12B,Edema,10000,6142,0.614200
Pixtral-12B,Consolidation,10000,5398,0.539800
Pixtral-12B,Pneumonia,10000,7634,0.763400
Pixtral-12B,Atelectasis,10000,4847,0.484700
Pixtral-12B,Pneumothorax,10000,8861,0.886100
Pixtral-12B,Pleural Effusion,10000,5610,0.561000
Pixtral-12B,Pleural Other,10000,8597,0.859700
Pixtral-12B,Fracture,10000,7015,0.701500
Pixtral-12B,Support Devices,10000,7282,0.728200
Qwen2.5-VL-32B,No Finding,10000,3611,0.361100
Qwen2.5-VL-32B,Enlarged Cardiomediastinum,10000,3575,0.357500
Qwen2.5-VL-32B,Cardiomegaly,10000,4913,0.491300
Qwen2.5-VL-32B,Lung Opacity,10000,5738,0.573800
Qwen2.5-VL-32B,Lung Lesion,10000,5555,0.555500
Qwen2.5-VL-32B,Edema,10000,5633,0.563300
Qwen2.5-VL-32B,Consolidation,10000,5572,0.557200
Qwen2.5-VL-32B,Pneumonia,10000,5988,0.598800
Qwen2.5-VL-32B,Atelectasis,10000,5413,0.541300
Qwen2.5-VL-32B,Pneumothorax,10000,3896,0.389600
Qwen2.5-VL-32B,Pleural Effusion,10000,4936,0.493600
Qwen2.5-VL-32B,Pleural Other,10000,8781,0.878100
Qwen2.5-VL-32B,Fracture,10000,7180,0.718000
Qwen2.5-VL-32B,Support Devices,10000,6416,0.641600
Qwen2.5-VL-3B,No Finding,12049,7651,0.634990
Qwen2.5-VL-3B,Enlarged Cardiomediastinum,12049,6182,0.513072
Qwen2.5-VL-3B,Cardiomegaly,12049,6993,0.580380
Qwen2.5-VL-3B,Lung Opacity,12049,5796,0.481036
Qwen2.5-VL-3B,Lung Lesion,12049,10331,0.857416
Qwen2.5-VL-3B,Edema,12049,7407,0.614740
Qwen2.5-VL-3B,Consolidation,12049,6838,0.567516
Qwen2.5-VL-3B,Pneumonia,12049,9042,0.750436
Qwen2.5-VL-3B,Atelectasis,12049,5855,0.485932
Qwen2.5-VL-3B,Pneumothorax,12049,10528,0.873765
Qwen2.5-VL-3B,Pleural Effusion,12049,6766,0.561540
Qwen2.5-VL-3B,Pleural Other,12049,10233,0.849282
Qwen2.5-VL-3B,Fracture,12049,8446,0.700971
Qwen2.5-VL-3B,Support Devices,12049,8315,0.690099
Qwen2.5-VL-7B,No Finding,12057,9685,0.803268
Qwen2.5-VL-7B,Enlarged Cardiomediastinum,12057,7441,0.617152
Qwen2.5-VL-7B,Cardiomegaly,12057,6832,0.566642
Qwen2.5-VL-7B,Lung Opacity,12057,6222,0.516049
Qwen2.5-VL-7B,Lung Lesion,12057,10417,0.863979
Qwen2.5-VL-7B,Edema,12057,7372,0.611429
Qwen2.5-VL-7B,Consolidation,12057,6588,0.546405
Qwen2.5-VL-7B,Pneumonia,12057,8851,0.734096
Qwen2.5-VL-7B,Atelectasis,12057,5810,0.481878
Qwen2.5-VL-7B,Pneumothorax,12057,10659,0.884051
Qwen2.5-VL-7B,Pleural Effusion,12057,6732,0.558348
Qwen2.5-VL-7B,Pleural Other,12057,10395,0.862155
Qwen2.5-VL-7B,Fracture,12057,8449,0.700755
Qwen2.5-VL-7B,Support Devices,12057,8880,0.736502
gpt-4o,No Finding,1657,1581,0.954134
gpt-4o,Enlarged Cardiomediastinum,1657,1042,0.628847
gpt-4o,Cardiomegaly,1657,1127,0.680145
gpt-4o,Lung Opacity,1657,1231,0.742909
gpt-4o,Lung Lesion,1657,1500,0.905250
gpt-4o,Edema,1657,1101,0.664454
gpt-4o,Consolidation,1657,1173,0.707906
gpt-4o,Pneumonia,1657,1197,0.722390
gpt-4o,Atelectasis,1657,1032,0.622812
gpt-4o,Pneumothorax,1657,1528,0.922148
gpt-4o,Pleural Effusion,1657,1046,0.631261
gpt-4o,Pleural Other,1657,1583,0.955341
gpt-4o,Fracture,1657,1461,0.881714
gpt-4o,Support Devices,1657,1325,0.799638
