subject,ability
GPT-5.4,2.047771
gpt-4o,2.579921
CheXagent-8B,1.493124
CheXagent-2-3B,2.307541
LLaVA-Med-7B,1.705919
LLaVA-1.5-7B,2.013837
MedGemma-4B,0.363296
InternVL3-8B,-0.258343
Phi-3.5-Vision,0.447438
Qwen2.5-VL-32B,-0.495338
BiomedCLIP,0.194874
Pixtral-12B,2.140256
Llama-3.2-Vision-11B,2.147736
Qwen2.5-VL-3B,1.871457
Qwen2.5-VL-7B,2.065913
