subject,ability
GPT-5.4,1.160727
gpt-4o,1.630562
CheXagent-8B,0.011672
CheXagent-2-3B,1.197316
LLaVA-Med-7B,0.464400
LLaVA-1.5-7B,0.967575
MedGemma-4B,-0.611355
InternVL3-8B,-0.799756
Phi-3.5-Vision,-0.576110
Qwen2.5-VL-32B,-0.715628
BiomedCLIP,-0.546153
Pixtral-12B,1.073151
Llama-3.2-Vision-11B,1.060910
Qwen2.5-VL-3B,0.926997
Qwen2.5-VL-7B,0.904201
