model,n_params,n_obs,log_likelihood,AIC,BIC,test_log_likelihood,test_nll_per_obs,seconds,final_loss
rasch,60811,579438,-112636.0000,346894.0000,1032222.6559,-21122.1328,0.333941,78.22,0.194389
twopl,121607,579438,-84228.8359,411671.6719,1782159.9366,-35222.7266,0.556872,34.12,0.145474
threepl,182403,579438,-72124.2109,509054.4219,2564702.2953,-39659.6797,0.627021,37.91,0.124463
fm1,121607,579438,-71404.7812,386023.5625,1756511.8272,-27112.8047,0.428654,135.83,0.123235
fm2,182418,579438,-25348.3555,415532.7109,2471349.6316,-54857.5898,0.867300,187.56,0.043749
fm3,243229,579438,-12443.1914,511344.3828,3252489.9594,-63453.1602,1.003196,206.33,0.021480
