subject,ability
GPT-5.4,0.780798
gpt-4o,0.761118
CheXagent-8B,-0.857247
CheXagent-2-3B,-0.937867
LLaVA-Med-7B,-6.314934
LLaVA-1.5-7B,-1.040778
MedGemma-4B,-0.839679
InternVL3-8B,-1.813549
Phi-3.5-Vision,-0.881841
Qwen2.5-VL-32B,-1.899830
BiomedCLIP,0.738829
Pixtral-12B,-0.980947
Llama-3.2-Vision-11B,-0.844334
Qwen2.5-VL-3B,0.113330
Qwen2.5-VL-7B,0.708687
