subject,ability
GPT-5.4,1.083342
gpt-4o,0.747346
CheXagent-8B,0.211487
CheXagent-2-3B,0.201939
LLaVA-Med-7B,-0.781920
LLaVA-1.5-7B,0.050377
MedGemma-4B,-0.004959
InternVL3-8B,-0.176539
Phi-3.5-Vision,0.167651
Qwen2.5-VL-32B,-0.494842
BiomedCLIP,1.049434
Pixtral-12B,0.113857
Llama-3.2-Vision-11B,0.203906
Qwen2.5-VL-3B,0.380378
Qwen2.5-VL-7B,0.989750
