model,n_params,n_obs,log_likelihood,AIC,BIC,test_log_likelihood,test_nll_per_obs,seconds,final_loss
rasch,45612,434579,-154446.9219,400117.8438,901034.8953,-24801.3867,0.523446,47.29,0.355395
twopl,91209,434579,-118200.8828,418819.7656,1420489.1367,-43153.6641,0.910780,41.31,0.272132
threepl,136806,434579,-100575.8359,474763.6719,1977185.3625,-38097.5703,0.804069,45.02,0.231324
fm1,91209,434579,-101435.7656,385289.5312,1386958.9024,-29286.0898,0.618098,114.70,0.233416
fm2,136821,434579,-42357.2422,358356.4844,1860942.9070,-43998.4922,0.928610,143.80,0.097466
fm3,182433,434579,-19469.7168,403805.4336,2407308.9078,-60121.9688,1.268905,151.81,0.044806
