subject,ability_f0
GPT-5.4,7.574330
gpt-4o,1.672123
CheXagent-8B,-0.627297
CheXagent-2-3B,0.027504
LLaVA-Med-7B,-19.967957
LLaVA-1.5-7B,-2.844100
MedGemma-4B,0.102784
InternVL3-8B,0.116275
Phi-3.5-Vision,-3.044668
Qwen2.5-VL-32B,0.463836
BiomedCLIP,-0.057417
Pixtral-12B,-0.232625
Llama-3.2-Vision-11B,-1.537079
Qwen2.5-VL-3B,-0.783443
Qwen2.5-VL-7B,-0.119277
