subject,ability
GPT-5.4,1.806258
gpt-4o,1.557429
CheXagent-8B,0.634043
CheXagent-2-3B,1.082785
LLaVA-Med-7B,-0.257899
LLaVA-1.5-7B,-0.052158
MedGemma-4B,0.871912
InternVL3-8B,0.719001
Phi-3.5-Vision,-0.085659
Qwen2.5-VL-32B,0.475906
BiomedCLIP,1.146405
Pixtral-12B,0.490894
Llama-3.2-Vision-11B,0.264778
Qwen2.5-VL-3B,0.450429
Qwen2.5-VL-7B,0.516395
