model,n_params,n_obs,log_likelihood,AIC,BIC,test_log_likelihood,test_nll_per_obs,seconds,final_loss
rasch,91209,869157,-394322.6562,971063.3125,2035953.8399,-55524.4297,0.585831,69.08,0.453685
twopl,182403,869157,-323137.2188,1011080.4375,3140686.3630,-67662.0312,0.713893,17.16,0.372157
threepl,273597,869157,-300837.1875,1148868.3750,4343189.6987,-76618.4219,0.808390,202.91,0.346144
fm1,182403,869157,-265685.0625,896176.1250,3025782.0505,-83300.9688,0.878897,1463.42,0.305685
fm2,273612,869157,-167593.2031,882410.4062,4076906.8591,-112407.2500,1.185993,258.27,0.192831
fm3,364821,869157,-82157.7969,893957.5938,5153344.5740,-162923.1562,1.718979,276.13,0.094534
