subject,ability
GPT-5.4,1.307073
gpt-4o,0.805468
CheXagent-8B,0.238303
CheXagent-2-3B,0.388130
LLaVA-Med-7B,-0.712807
LLaVA-1.5-7B,-0.187078
MedGemma-4B,0.415747
InternVL3-8B,0.422040
Phi-3.5-Vision,-0.159259
Qwen2.5-VL-32B,0.473705
BiomedCLIP,0.381534
Pixtral-12B,0.336565
Llama-3.2-Vision-11B,0.058205
Qwen2.5-VL-3B,0.217992
Qwen2.5-VL-7B,0.357379
