subject,ability
GPT-5.4,1.140055
gpt-4o,0.227456
CheXagent-8B,-0.590119
CheXagent-2-3B,-0.266524
LLaVA-Med-7B,-12.776724
LLaVA-1.5-7B,-2.164873
MedGemma-4B,-0.233204
InternVL3-8B,-0.256871
Phi-3.5-Vision,-3.782601
Qwen2.5-VL-32B,-0.251247
BiomedCLIP,-0.283802
Pixtral-12B,-0.365825
Llama-3.2-Vision-11B,-1.072394
Qwen2.5-VL-3B,-0.562516
Qwen2.5-VL-7B,-0.324742
